LabelCode,Artist,Title,Label,Format,Released
"H-110312, PPR100-1",Tim Timebomb,She's Drunk All The Time,"Hellcat Records, Pirates Press Records","7"", Single, Ltd",2013
"H-111012, PPR100-3",Tim Timebomb,Change That Song Mr. DJ,"Hellcat Records, Pirates Press Records","7"", Single, Ltd",2013
"H-112412, PPR100-2",Tim Timebomb,30 Pieces Of Silver,"Hellcat Records, Pirates Press Records","7"", Single, Ltd",2013
"SIR 016, GOLDEN 003",A. Armada,Anam Cara,"Hello Sir Records, Golden Antenna Records",LP,2008
162 060-2,"Suicide Machines, The",Battle Hymns,Hollywood Records,"LP, Album, RE, Cok + 7"", Mar",2013
ASB092,"Suicide Machines, The",Destruction By Definition,Hollywood Records,"LP, RE, Cle + 7"", Mar",2013
"HD022, LLR009",Symbol (9),Online Architecture,"HoloDeck, Light Lodge","LP, Ltd",2014
HR611-1,Nobodys,Short Songs For Short Attention Spans,Hopeless Records,"LP, Album",1996
HR663-1,Common Rider,This Is Unity Music,Hopeless Records,"LP, Album",2002
HR663-2,Common Rider,This Is Unity Music,Hopeless Records,"CD, Album",2002
HR684-1,Against All Authority,The Restoration Of Chaos & Order,Hopeless Records,2xLP,2006
HA0015LP,Courtney Barnett,The Double EP: A Sea Of Split Peas,House Anxiety Records,"2xLP, Comp",2013
SP 70021,Go-Go's,Beauty And The Beat,I.R.S. Records,"LP, Album",1981
SP 70038,Skafish,Conversation,I.R.S. Records,"LP, Album",1983
,Girl Talk,Night Ripper,Illegal Art,"2xLP, 180",2009
107,Girl Talk,Secret Diary,Illegal Art,"12"", Pic",2012
GR-155,John Coltrane,A Love Supreme,Impulse!,"LP, Album, Ltd, RE, RM, Gat",1995
ICR-78,Diarrhea Planet,I'm Rich Beyond Your Wildest Dreams,Infinity Cat Recordings,"LP, Gre",2014
BOO11592-01,Scars On Broadway,Scars On Broadway,Interscope Records,"LP, Album",2008
INTR-11722-7,Yeah Yeah Yeahs,Gold Lion,Interscope Records,"7"", Pic, Promo",2006
INTR124891,Rise Against,Re-Education (Through Labor),Interscope Records,"7"", Promo, Whi",2008
7 90520-1,Bob Marley & The Wailers,Rebel Music,Island Records,"LP, Comp",1986
5303052,Bob Marley & The Wailers,Legend - The Best Of Bob Marley And The Wailers,"Island Records, Tuff Gong","LP, Comp, RE, 180",2009
JT1116,Fucked Up,Triumph Of Life,Jade Tree,"7"", EP, Pin",2006
JAG115,Bon Iver,"For Emma, Forever Ago",Jagjaguwar,"LP, Album",2008
JAG225,Bon Iver,Beth / Rest,Jagjaguwar,"12"", Single",2012
JWCY001VL1,Best Coast,Fade Away,Jewel City,"LP, MiniAlbum",2013
01241-41490-1,A Tribe Called Quest,Midnight Marauders,Jive,"LP, Album, Gre",1993
"JNR132, AKR117",Sisyphus (3),Sisyphus,"Joyful Noise Recordings, Asthmatic Kitty Records","LP, Yel + LP, Pur + Album, Ltd, Num",2014
"JUMP102LP, PFSS 002","Prizefighters, The",Follow My Sound,"Jump Up! Records, Prizefighter Sound System","LP, Blu",2011
KEM 064,Saviours,Into Abaddon,Kemado Records,"LP, Album",2008
KRS503,Xiu Xiu,"Dear God, I Hate Myself",Kill Rock Stars,"LP, Album",2010
KR-54,Toadies,Dia De Los Toadies,Kirtland Records,"7"", Ltd",2011
88843042641,OutKast,Southernplayalisticadillacmuzik,LaFace Records,"LP, Album, Ltd, Num, 180",2014
DMD 2244,CIV,Can't Wait One Minute More,Lava,"12"", Single",1995
LLM 3000,"Damned, The",Strawberries,Legacy Records,"LP, Album, RE, Red",1986
"88765482911, none",Various,No Alternative,"Legacy, Arista","2xLP, Comp, Ltd, Num, 180",2013
LETV016LP,Killing Joke,Revelations,Let Them Eat Vinyl,"2xLP, Album, RE",2008
LETV019LP,Killing Joke,Outside The Gate,Let Them Eat Vinyl,"2xLP, RE, 180",2009
LEX099LP,NehruvianDOOM,NehruvianDOOM (Sound Of The Son),Lex Records,"LP, Album",2014
LK4410,White Wives,Situationists EP,Lock And Key Collective,"CD, EP",2011
LK-271,Common Rider,Thief In A Sleeping Town,Lookout! Records,"7"", EP",2001
LK174,Pansy Division,Queer To The Core,Lookout! Records,"7""",1997
Lookout 059,Rancid,Rancid,Lookout! Records,"7""",1992
Lookout 114,"Queers, The",Move Back Home,Lookout! Records,"LP, Album",1995
Lookout! Records #3,Operation Ivy,Hectic E.P.,Lookout! Records,"7"", EP, RE",0
Number 94,Big Rig,Expansive Heart,Lookout! Records,"7""",1994
"LK226, PB277",Common Rider,Last Wave Rockers,"Lookout! Records, Panic Button","LP, Album",1999
B0015614-01,Elvis Costello & The Imposters,The Delivery Man,Lost Highway,"2xLP, Album, Ltd, RE, Cle",2011
LPU019,HEALTH (2),//Disco,Lovepump United,"2xLP, Album",2009
LPU032,HEALTH (2),::DISCO2,Lovepump United,"2xLP, Comp",2010
Magic Bullet #81,This Will Destroy You,Young Mountain,Magic Bullet Records,"LP, Album, Ltd, RP, Whi",2014
MBL110-1,This Will Destroy You & Lymbyc Systym,Field Studies,Magic Bullet Records,"LP, Red",2009
"MBL160-1, MBL 160 - 1",This Will Destroy You,"Live In Reykjavik, Iceland","Magic Bullet Records, Magic Bullet Records","LP, Whi + LP, Bla + LP, Gre + Album, Ltd",2013
MLPS-9202,Various,The Harder They Come (Soundtrack),Mango,LP,1972
OLE 807-1,Fucked Up,The Chemistry Of Common Life,Matador,"2xLP, Album",2008
OLE 828-1,Fucked Up,Year Of The Pig,Matador,"12"", Single",2008
OLE 832-1,Mogwai,The Hawk Is Howling,Matador,"2xLP, Album",2008
OLE 837-7,Fucked Up,Crooked Head,Matador,"7"", Single",2008
OLE 838-7,Fucked Up,No Epiphany,Matador,"7"", Single",2009
OLE 839-1,Fucked Up,Couple Tracks,Matador,"2xLP, Comp",2010
OLE 976-7,Stephen Malkmus & The Jicks / L.A. Guns,Singles Going Home Alone #1,Matador,"7"", Single",2012
OLE 983-7,OBN III's,Singles Going Home Alone #2,Matador,"7"", Blu",2012
OLE 984-7,"Men, The (2)",Singles Going Home Alone #3,Matador,"7"", Single, Red",2012
OLE 986-7,Jesu,Duchess | Veiled,Matador,"7"", Mag",2012
OLE-1004-7,Primitive Romance,Singles Going Home Alone #7,Matador,"7"", Single, Red",2012
OLE-1049-1,Fucked Up,Glass Boys,Matador,"LP, Album",2014
OLE-931-7,Fucked Up,Daytrotter,Matador,"7"", Ltd",2010
OLE-952-1,Fucked Up,David Comes To Life,Matador,"2xLP, Album",2011
OLE-953-1,Thurston Moore,Demolished Thoughts,Matador,"2xLP, Album, Ltd, Blu",2011
OLE-974-1,Fucked Up,Year Of The Tiger,Matador,"12""",2012
OLE-987-7,Kurt Vile & Meg Baird, Singles Going Home Alone #6,Matador,"7"", Single, Whi",2012
"OLE 161-1, OLE 161-1EP",Guided By Voices,Under The Bushes Under The Stars,"Matador, Matador","LP, Album + 12"", EP",1996
394790,Deftones,Saturday Night Wrist,Maverick,"LP, Album, RE, Ltd, Gre",2011
524901-1,Deftones,White Pony,Maverick,"2xLP, Album, RE",2010
527297-1,Bad Brains,God Of Love,Maverick,"LP, RE + 7"", Bon",2011
527707-1,Deftones,Adrenaline,Maverick,"LP, Album, Ltd, RE, Pin",2011
AMAV 527728,"Deftones, ",Around The Fur,Maverick,"LP, Album, Ltd, Ora",2011
B0016317-01,Sublime (2),Robbin' The Hood,MCA Records,"2xLP, Album, Ltd, Pin",2011
MCA-11179,Various,This Is Fort Apache,MCA Records,"LP, Comp",1995
MCA-36016,"Untouchables, The (7)",Dance Party,MCA Records,"12"", EP",1986
MCA-5487,Men Without Hats,Folk Of The 80's (Part III),MCA Records,"LP, Album",1984
MRV-003,Baseheadz Ft. Kev Brown,Hiphop,Mental Recordings,"12""",2006
858 894-7,"Mighty Mighty Bosstones, The / Kiss",Detroit Rock City,Mercury,"7"", Single, Ltd, Gre",1994
MG-20288,Griff Williams And His Society Orchestra,America's Most Danceable Music,Mercury,"LP, Mono",1958
MRG268,Destroyer (4),Destroyer's Rubies,Merge Records,"2xVinyl, RE, RM, Red",2012
MRG391,Fucked Up,Year Of The Ox,Merge Records,"12""",2010
MS-500,Ella Fitzgerald,Ella Fitzgerald,Metro Records,LP,1965
MEX 109,Best Coast,The Only Place,Mexican Summer,"LP, Album",2012
MEX 132,Best Coast,Fear Of My Identity / Who Have I Become,Mexican Summer,"7""",2013
"1SE-34 OC, none",Various,Grease - The Original Broadway Cast Album,"MGM Records, Lion Records (4)","LP, Album",1972
MP050-1,Sleigh Bells,Reign Of Terror,Mom + Pop,LP,2012
5313ML,"Supremes, The",Great Songs And Performances That Inspired The Motown 25th Anniversary T.V. Special,Motown,"LP, Comp",1983
M6-867S1,Commodores,Hot On The Tracks,Motown,"LP, Album",1976
M8-936M1,Diana Ross,Diana,Motown,"LP, Album, Gat",1980
M9-894A2,Commodores,Live!,Motown,"2xLP, Album",1977
MOTOWN 1075,"Supremes, The",Back In My Arms Again / Whisper You Love Me Boy,Motown,"7"", Single",1965
"MS672, MS 672","Supremes, The","Sing And Perform ""Funny Girl""","Motown, Motown","LP, Album, Gat",1968
MC 25671,George Duke,"I Love The Blues, She Heard My Cry",MPS Records,"LP, Album",1975
894564,Basil Rathbone with Nigel Bruce,Sherlock Holmes Tales From Baker Street,Murray Hill Records,3xLP + Box,0
MH-243,Blue Sky Black Death,A Heap Of Broken Images,Mush,"2xLP, Album",2006
MOVLP776,Broken Bells (2),Broken Bells,Music On Vinyl,"LP, Album, RP, Ltd, Num, Cle",2013
0 6700 30983 1 1,Ladytron,Gravity The Seducer (Remixed),Nettwerk,"LP, Album, Ltd, Blu",2013
NRA23,Christ On A Crutch,Crime Pays When Pigs Die,New Red Archives,"LP, Album, Red",1991
NRA70,Anti-Flag,Die For The Government,New Red Archives,"LP, Album, Red",1996
1580-1,"Vandals, The",Live Fast Diarrhea,Nitro Records,"LP, Album",1995
15806-1,"Vandals, The",The Quickening,Nitro Records,"LP, Album",1996
86460-1,"Offspring, The",The Offspring,Nitro Records,"LP, Album, RE",1995
"15805-1, NITRO RECORDS 15805-1",AFI,Very Proud Of Ya,"Nitro Records, Nitro Records","LP, Album",1996
NIR-151,Against Me!,Cavalier Eternal / You Look Like I Need A Drink,No Idea Records,"7"", Single, RP, Pur",2008
NSR012,La Dispute,Somewhere At The Bottom Of The River Between Vega And Altair,No Sleep Records,"LP, Dar + LP, Etch, S/Sided, Dar",2014
NSR031,Touché Amoré / La Dispute,Searching For A Pulse/The Worth Of The World,No Sleep Records,"7"", Ltd",2010
"NSR027, RFC017",Balance And Composure / Tigers Jaw,Balance And Composure / Tigers Jaw,"No Sleep Records, Run For Cover Records (2)","LP, cle",2010
292476-1,"Black Keys, The",Attack & Release,Nonesuch,"LP, Album, Gat + CD, Album, Promo",2008
529099-1,"Black Keys, The",El Camino,Nonesuch,"LP, Album + CD, Album",2011
536075-1,Billy Bragg & Wilco,Mermaid Avenue,Nonesuch,"2xLP, Album, RE",2013
536076-1,Billy Bragg & Wilco,Mermaid Avenue Vol. II,Nonesuch,"2xLP, Album, RE",2013
536077-1,Billy Bragg & Wilco,Mermaid Avenue Vol. III,Nonesuch,"2xLP, Album",2013
542300-1,"Black Keys, The",Turn Blue,Nonesuch,"LP, Album + CD, Album, Promo",2014
7-482300,"Black Keys, The",Strange Times,Nonesuch,"7"", Single",2008
none,JAGUERRA,Hue,Not On Label,"12"", Ltd, Num",2014
BEATSLP005,Beats Antique,A Thousand Faces - Act 1,Not On Label (Beats Antique Self-released),2xLP,2013
FOOD LP10,Blur,Parklife,Not On Label (Blur),"LP, Album, Unofficial, Blu",2009
none,Clap Your Hands Say Yeah,Clap Your Hands Say Yeah,Not On Label (Clap Your Hands Say Yeah Self-released),"LP, Album, RM, RE",2011
none,Deathmøle,Permanence ,Not On Label (Deathmole Self-Released),"LP, Album + LP, S/Sided, Etc + Album",2014
ER-3014,Express Rising,Express Rising,Not On Label (Express Rising Self-released),"LP, Album, Ltd",2013
none,Mustard Plug,Can't Contain It,Not On Label (Mustard Plug Self-released),"LP, Album",2014
ORGM-1042,Darkest Hour,The Human Romance,ORG Music,"LP, Album, Ltd, Cle",2011
"ORGM-1005, B0014269-01, none",Nirvana,Incesticide,"ORG Music, Universal Music Special Markets, DGC","LP, Comp, Ltd, RE, RM, Cle",2011
"ORG 034, B0012764-01",Nirvana,MTV Unplugged In New York,"Original Recordings Group, Universal Music Special Markets","LP, Album, Ltd, RE, RM, Red",2009
"PB277CD, LK226CD",Common Rider,Last Wave Rockers,"Panic Button, Lookout! Records","CD, Album, RE",0
"No. 7002, P 7002",Chubby Checker,For Twisters Only,"Parkway, Parkway","LP, Album",1960
PTKF2113-1,Sylvan Esso,Sylvan Esso,Partisan Records,"LP, Album, Ltd, RE, Gol",2014
SPC-3046,Nat King Cole,Love Is A Many Splendored Thing,Pickwick/33 Records,"LP, Comp",1966
SPC-3187,Nat King Cole With Nelson Riddle And His Orchestra,The Piano Soul Of Nat King Cole,Pickwick/33 Records,"LP, Album, RE",1968
"PPR119, none",Tim Timebomb And Various,Tim Timebomb And Friends,"Pirates Press Records, Hellcat Records","3xLP, Comp, Ltd, Bon",2014
"PPR047, none",Various,Oi! This Is Streetpunk,"Pirates Press Records, Longshot Music","11"", Comp, Red",2011
P-9003,Pointer Sisters,Priority,Planet Records (5),"LP, Album",1979
PD-1-6184,Gloria Gaynor,Love Tracks,Polydor,"LP, Album",1978
PD-1-6211,Bram Tchaikovsky,"Strange Man, Changed Man",Polydor,"LP, Album",1979
PRC-233,Of Montreal,Paralytic Stalks,Polyvinyl Record Company,"2xLP, Album, Yel",2012
PRC-277,Xiu Xiu,Unclouded Sky,Polyvinyl Record Company,"LP, Ltd, Clo",2014
PRC-9138,Deerhoof / Of Montreal,Stygian x} Bisection,Polyvinyl Record Company,"7"", Ltd, Cle",2012
PRC9136,Xiu Xiu / Dirty Beaches,Xiu Xiu / Dirty Beaches,Polyvinyl Record Company,"7"", Ltd",2012
509996 26481 1 0,Cypress Hill,Rise Up,Priority Records,"2xLP, Gat + CD, Album",2010
10064,Gojira (2),The Way Of All Flesh,Prosthetic Records,"2xLP, Album, Ltd, RE, Blu",2013
PC 06 EP,"Casualties, The",Who's In Control?,Punkcore Records,"7"", EP",2000
"0-20869, 9 20869-0",New Order,Blue Monday 1988,"Qwest Records, Qwest Records","12"", Maxi",1988
MDC5,MDC (2),This Blood's For You,R Radical Records,"LP, Album",1987
"none, WB 022",MDC (2),This Blood's For You,"R Radical Records, We Bite Records","LP, Album",1987
RAD 70019-7,"Skoidats, The / Inspecter 7",Boots And Suits,Radical Records,"7""",1998
7930183647-1,Yellowcard,A Perfect Sky,Razor & Tie,"10"", EP, Ltd",2015
82876 81077-7,Anti-Flag,Emigre,RCA,"7"", Promo",2006
88697-29161-7,Anti-Flag,The Bright Lights Of America,RCA,"7"", Promo",2008
AFL1-3429,City Streets,Livin' In The Jungle,RCA,"LP, Album",1979
AFL1-3019,Toshiko Akiyoshi-Lew Tabackin Big Band,Kogun,RCA Victor,"LP, Album, RE",0
LPM-1972,Harry Belafonte,Belafonte Sings The Blues,RCA Victor,"LP, Album, Mono",1958
ROR 004,Anti-Flag / Against All Authority,"Split 7""",Records Of Rebellion,"7""",1996
RSR008,Hostage Calm,Lens,Redscroll Records,"LP, Ltd, Bla",2009
88561-8160-1,Circle Jerks,VI,Relativity,"LP, Album",1987
RTR-001,Remember The Radio,Remember The Radio,Remember The Radio,LP,2013
534778-1,Deftones,Live: Vol. 1 - Selections From Adrenaline,Reprise Records,"12"", EP",2013
541585-1,Mastodon,Live At Brixton,Reprise Records,"2xLP, Num, Ltd, 180 + DVD",2014
9362-49582-9,Deftones,Covers,Reprise Records,"LP, Comp, Ltd",2011
"7-530123 (K1), 530123-7",Mastodon / Feist,Feistodon,"Reprise Records, Reprise Records","7"", Single, Ltd",2012
"FS 1025, 1025",Frank Sinatra,Frank Sinatra's Greatest Hits,"Reprise Records, Reprise Records","LP, Comp, RE",0
"Fac 63, fac 63",New Order,Temptation,"Rhino Custom Products, Rhino Custom Products","7"", RE, Single",2009
825646333547,"Pogues, The With Joe Strummer",Live In London,Rhino Records (2),"2xLP, Album, Ltd, Red",2014
RHI1 73394,Joy Division,Closer,Rhino Records (2),"LP, Album, RE, 180",2007
RHI1 73395,Joy Division,Unknown Pleasures,"Rhino Records (2), London Records","LP, Album, RE, 180",2007
RIC025V,And So I Watch You From Afar,Gangs,Richter Collective,"LP, Album",2011
RJE-10012-1,Icebird (3),The Abandoned Lullaby,"RJ's Electrical Connections, Mad Dragon Records","2xLP, Album, Cle",2015
RR7962-4,Opeth,Watershed,Roadrunner Records,"2xLP, Album, RE, Ltd, Gre",2014
ROBO 071,Isis (6),In The Absence Of Truth,Robotic Empire,"2xLP, Album, RP",2007
ROBO 116,Various,Whatever Nevermind,Robotic Empire,"LP, Comp, Blu + 7"", Single, Blu",2015
"ROCKACT61, 5051083059558",Mogwai,Earth Division EP,"Rock Action Records, [PIAS] Entertainment Group","12"", EP",2011
RUSLP 8223,Bad Brains,Bad Brains,ROIR (Reachout International Records),LP,0
RS-2-4201,"John Williams (4), London Symphony Orchestra, The",Star Wars / The Empire Strikes Back,RSO,"2xLP, Album",1980
RFC 041,Bridge And Tunnel,Homecoming,Run For Cover Records (2),"7""",2011
RFC021,Hostage Calm,Hostage Calm,Run For Cover Records (2),"LP, Album, Cle",2010
RFC039,Tigers Jaw,Subscription Single Series #3,Run For Cover Records (2),"7"", MP, Pin",2011
RFC040,Mockingbird Wish Me Luck,Living Weakness,Run For Cover Records (2),"7"", Single, Mar",2011
RFC047,Tigers Jaw,CMJ Flexi,Run For Cover Records (2),"Flexi, 7""",2011
RFC066,Shook Ones / Death Is Not Glamorous,Shook Ones | Death Is Not Glamorous,Run For Cover Records (2),"7"", Red",2013
RFC: 050,"Various, ",Mixed Signals: A Run For Cover Records Compilation,Run For Cover Records (2),"LP, Comp, Sea",2011
RFC:037,Hostage Calm,War On A Feeling / Donna Lee,Run For Cover Records (2),"7"", Single",2011
RFC:038,End Of A Year Self Defense Family,I Heard Crime Gets You Off,Run For Cover Records (2),"7"", Single",2011
RFC:042,Shook Ones,MerriweatherPostPavilion,Run For Cover Records (2),"7""",2012
RFC:082,Self Defense Family / Meredith Hunter (2),Split,Run For Cover Records (2),"7"", Ora",2014
RFC:084,"Adventures, Pity Sex",Adventures / Pity Sex,Run For Cover Records (2),"7"", Bon",2014
"RFC:069, AF:054",Anti-Flag + Hostage Calm,Anti-Flag + Hostage Calm,"Run For Cover Records (2), A-F Records","7"", S/Sided, Etch, Red",2013
"RFC:069, AF:054",Anti-Flag + Hostage Calm,Anti-Flag + Hostage Calm,"Run For Cover Records (2), A-F Records","7"", S/Sided, Etch, Red",2013
"RFC:069, AF:054",Anti-Flag + Hostage Calm,Anti-Flag + Hostage Calm,"Run For Cover Records (2), A-F Records","7"", S/Sided, Etch, Whi",2013
"RFC:069, AF:054",Anti-Flag + Hostage Calm,Anti-Flag + Hostage Calm,"Run For Cover Records (2), A-F Records","7"", S/Sided, Etch, Blu",2013
RLP 11094-1,"Posies, The",Blood/Candy,Rykodisc,"LP, Album",2010
LBJ-158,Bright Eyes,The People's Key,Saddle Creek,"LP, Album",2011
SH 095,And So I Watch You From Afar,All Hail Bright Futures,Sargent House,LP,2013
SH080,This Town Needs Guns,13.0.0.0.0,Sargent House,"LP, Album, Cle",2013
SH082,This Town Needs Guns,Animals,Sargent House,"LP, Album, RE, Cle",2012
sh108,Mylets,Retcon,Sargent House,LP,2013
SH137,And So I Watch You From Afar,Heirs,Sargent House,"LP, Album, Yel",2015
SC310,"War On Drugs, The",Lost In The Dream,Secretly Canadian,"2xLP, Album, Ltd, RE, Gre",2014
SUMEP05,Brother Inferior,Bound And Gagged,Sensual Underground Ministries,"7"", EP",1995
SHOV 1,Pussy Galore (2),Feel Good About Your Body,Shove Records,"7"", EP, Ltd, RE, Bla",2012
none,Anti-Flag,Complete Control Recording Sessions,SideOneDummy Records,"10"", Red",2011
SD1413-2,Flogging Molly,Live At The Greek Theatre,SideOneDummy Records,"DVD-V + 2xCD, Album",2010
SD1457-10,Scream (2),Complete Control Recording Sessions,SideOneDummy Records,"10"", EP, Red",2011
SD1476-1,Anti-Flag,The General Strike,SideOneDummy Records,"LP, Album, Cle",2012
SD1476-1,Anti-Flag,The General Strike,SideOneDummy Records,LP,2012
none,Flogging Molly,Drunken Lullabies,"SideOneDummy Records, Borstal Beat Records","7"", Ltd, Red",2012
SRK 6094,Madness,Absolutely,Sire,"LP, Album",1980
"1-25641, 9 25641-1",Ramones,Halfway To Sanity,"Sire, Sire","LP, Album",1987
SKULD 057,Aus-Rotten,The Rotten Agenda,Skuld Releases,LP,2001
9 25819 1,Violent Femmes,3,Slash,"LP, Album",1988
Murder003,Fucked Up,Generation,Slasher Records,"7"", RP",2005
2760121,And So I Watch You From Afar,The Letters EP,Smalltown America,"10""",2010
STE 702-7,"Black Keys, The, RZA",The Baddest Man Alive,"Soul Temple Entertainment, Stax, Universal, Strike (6), Arcade (5)","7"", Single",2013
SP-05,"Code, The (3) / Whatever It Takes",The Code / Whatever It Takes,Spent Records,"10"", Bla",2002
"2547088369, none",Electric Wizard (2),Time To Die,"Spinefarm Records, Witchfinder Records","2xLP, Ltd, Num, RE, Cle",2015
SWC 24840,Street Sweeper Social Club,The Ghetto Blaster EP,SSSC,"10"", EP, Red",2010
SST 065,Bad Brains,I Against I,SST Records,"LP, Album, RP",0
SST 086,Gone (2),Gone II - But Never Too Gone!,SST Records,"LP, Album",1986
SF 4,Sham 69,I Don't Wanna,Step-Forward Records,"12"", RE",1979
SF-8200,David Haines (3) With Orchestre National De L'Opéra De Paris,Warsaw Concerto / Tschaikowsky's Nutcracker Suite And Other Popular Classical Themes,Stereo-Fidelity,"LP, Album",0
STERNS 1017,Alpha Blondy,Apartheid Is Nazism,Stern's Africa,"LP, Album",1986
STH2065,MF Doom And Madlib - Madvillain,Madvillainy,Stones Throw Records,"2xLP, Album, Ltd, Num, RE",2014
STH2138,Aloe Blacc,Shine Through,Stones Throw Records,"2xLP, Album",2006
STH2245,Aloe Blacc,Good Things,Stones Throw Records,"2xLP, Album",2010
SFNT 020,"Stranglers, The",The Radio 1 Sessions - The Evening Show,Strange Fruit,"12""",1989
STNVOL-004,Garbage,Blood For Poppies,Stun Volume,"7"", Ltd, Whi",2012
SP 550,"Shins, The","Oh, Inverted World",Sub Pop,"LP, Album",2001
SP 630,Iron And Wine,Our Endless Numbered Days,Sub Pop,"LP, Album",2004
SP 690,Band Of Horses,Everything All The Time,Sub Pop,"LP, Album",2006
SP 745,Band Of Horses,Cease To Begin,Sub Pop,"LP, Album",2007
SP 772,No Age,Nouns,Sub Pop,"LP, Album",2008
SP 870,Wolf Parade,Expo 86,Sub Pop,"2xLP, Album, Gat",2010
SP1033,Mogwai,A Wrenched Virile Lore,Sub Pop,"LP, Gra + LP, Red",2012
SP1079,Mogwai,Rave Tapes,Sub Pop,"Box, Ltd + LP, Album, Ltd, Tra + 12"", Ltd, Tra + 7",2014
SP895,Mogwai,"Hardcore Will Never Die, But You Will.",Sub Pop,"2xLP, Album",2011
"SP 777, SP 781",Fleet Foxes,Fleet Foxes,"Sub Pop, Sub Pop","LP, Album + 12"", EP",2008
"SH136-1, HTC 025",Mike Hale,Lives Like Mine,"Suburban Home Records, Hometown Caravan","LP, Album, Gre",2009
SS 2-201,Led Zeppelin,The Soundtrack From The Film The Song Remains The Same,Swan Song,"2xLP, Album",1976
TK 612,KC & The Sunshine Band,Greatest Hits,T.K. Records,"LP, Comp",1980
TC77,Fucked Up,Year Of The Dragon,Tankcrimes,"12"", EP, Whi + Flexi, 7"", Shape, Whi",2014
TEMP 20,H2O (7),Old School Recess,Temperance Records,"7""",1999
TRR 61,Explosions In The Sky,The Earth Is Not A Cold Dead Place,Temporary Residence Limited,"LP + LP, S/Sided, Etch + Album, RP",2003
TRR 99,Explosions In The Sky,All Of A Sudden I Miss Everyone,Temporary Residence Limited,"LP + LP, S/Sided, Etch + Album",2007
TRR199,Explosions In The Sky,"Take Care, Take Care, Take Care",Temporary Residence Limited,"LP, Gre + LP, S/Sided, Etch, Bro + Album, Ltd",2011
TRR222,"Explosions In The Sky, David Wingo",Prince Avalanche: An Original Motion Picture Soundtrack,Temporary Residence Limited,"LP, Ltd, Tra",2013
TRR231,Inventions,Inventions,Temporary Residence Limited,"LP, Album",2014
TRR248,Inventions,Maze Of Woods,Temporary Residence Limited,"LP, Album, Ltd, Tra",2015
TRR254,Inventions,Remixed,Temporary Residence Limited,"12"", Ltd, Cle",2015
TRR34,Explosions In The Sky,"Those Who Tell The Truth Shall Die, Those Who Tell The Truth Shall Live Forever",Temporary Residence Limited,"LP, Album",2001
"TRR 169, TRR169",Grails,Deep Politics,"Temporary Residence Limited, Temporary Residence Limited","LP + LP, S/Sided, Etch + Album",2011
TE216-1,Fear (3),The Fear Record,The End Records,"LP, Album, Ltd, Whi",2012
TKR 025,Ramona Falls,Prophet,The Kora Records,"2xLP, Album, Ltd, Gre",2012
TMR 001,"Dead Weather, The",Hang You From The Heavens,Third Man Records,"7"", Single",2009
TMR-139,Jack White (2),Blunderbuss,Third Man Records,"LP, Album",2012
TMR-271,Jack White (2),Lazaretto,Third Man Records,"LP, Album, Etch, Ult",2014
TMR042,"White Stripes, The",The White Stripes,Third Man Records,"LP, Album, RE, RM",2010
TMR200,"White Stripes, The",Elephant,Third Man Records,"LP, Red + LP, Whi + Album, Ltd, RE, RP",2013
thrill 202,"Fiery Furnaces, The",Remember,Thrill Jockey,"3xLP, Album, Ltd, Gat",2008
"TSR072, RFC068","Tigers Jaw / World Is A Beautiful Place & I Am No Longer Afraid To Die, The / Code Orange Kids / Self Defense Family",4-way Split,"Topshelf Records (2), Run For Cover Records (2)","7"", Pea",2013
TTM003,Against Me!,Transgender Dysphoria Blues,Total Treble,"LP, Album",2014
TTM004,Against Me!,Unconditional Love,Total Treble,"7"", Pic, Ltd",2014
TTM006,Against Me!,Osama Bin Laden As The Crucified Christ,Total Treble Music,"7"", Ltd, S/Edition, Pur",2015
TL 31-1,Irepress,Sol Eye Sea I,Translation Loss Records,"2xLP, Album, Ltd, pur",2009
none,Aus-Rotten,...And Now Back To Our Programming,Tribal War Records,"LP, Album, Blu",1998
"TVT 2610-1, TVT 2610",Nine Inch Nails,Pretty Hate Machine,"TVT Records, TVT Records","LP, Album",1989
"CDL TT 5001, CDL TT5001","Specials, The",Specials,"Two-Tone Records, Two-Tone Records","LP, Album",1979
B0016752-11,Of Monsters And Men,Uti Sjo Og Inni Skog,UMG Recordings,"10"", EP, Ltd",2012
B0016691-01,Of Monsters And Men,My Head Is An Animal,Universal Republic,"2xLP, Album, Pin",2012
"UPLP 6, UP LP 6","Higsons, The",The Curse Of The Higsons,"Upright Records, Upright Records","LP, Album",1984
VR686,Thrice,Major/Minor,Vagrant Records,"2x12"", Album, Ltd, Cle",2011
VSD 79290,Buddy Guy,This Is Buddy Guy,Vanguard,"LP, Album, RE, Ltd",2012
MG V-4003,Ella Fitzgerald And Louis Armstrong,Ella And Louis,Verve Records,"LP, Album, Mono",1956
MG VS-64041,Ella Fitzgerald,Mack The Knife - Ella In Berlin,Verve Records,"LP, Album",1960
"MG VS-64041, V6-4041",Ella Fitzgerald,Mack The Knife - Ella In Berlin,"Verve Records, Verve Records",LP,0
VCA 80021-7,OFF!,First Four EPs,Vice Records,"4x7"", EP + Box",2010
VCA 80327-1,OFF!,OFF!,Vice Records,"12"", Album",2012
VCA 80338-1,OFF!,Learn To Obey,Vice Records,"7"", Ltd",2014
VR062,Warzone (2),Fight For Justice,Victory Records,"LP, RP, Gra",2015
